CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
1218,Mebendazol ,Frasco 30 ml,RD$10.00,Antihelmintico/Antiparasitario,2022
9076,Mecobalamina ,Tableta 500 m cg,RD$5.00,Vitaminas,2022
1661,Metformina ,Tableta 8850 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2022
10276,Metformina ,Tableta 500 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2022
1661,Metformina ,Tableta 8850 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2022
10238,Metildopa,Tableta 250 mg,RD$4.00,Cardiovasculares/Antihipertensivo,2022
1414,Metil-Dopa,Tableta 500  mg,RD$5.00,Cardiovasculares/Antihipertensivo,2022
1602,Metoclopramida ,Tableta 10 mg,RD$0.40,Antiemético,2022
10630,Metoprolol,Tableta 50 mg,RD$1.75,Cardiovasculares Antianginosos,2022
9070,Metoprolol ,Tableta 100 mg,RD$1.75,Cardiovasculares Antianginosos,2022
1235,Metronidazol ,Tableta 500 mg,RD$0.50,Amebicida,2022
10273,Metronidazol + Diyodohidroxiquinoleina ,Tableta 400 mg/200 mg,RD$7.00,Antihelmintico/Antiparasitario,2022
10274,Metronidazol + Diyodohidroxiquinoleina 400mg + 200mg,Frasco 120 ml,RD$85.00,Antihelmintico/Antiparasitario,2022
10339,Metronidazol Benzoato 200mg/5ml Susp. Oral,Frasco 120  ml,RD$20.00,Amebicida,2022
10347,Muleta Aluminio Adulto (L),Unidad,RD$300.00,Insumos Ortopédicos,2022
10348,Muleta de Aluminio para adolescentes (S),Unidad,RD$300.00,Insumos Ortopédicos,2022
10349,Muletas De Aluminio Grandes Para Adultos XL ,Unidad,RD$300.00,Vitaminas,2022
1905,"Mult. Lactante Sin Estim(Vit.A1500UI,D 400UI,C 35mg,B1 0.5mg,B2 0.5mg,B6 Niacinamina 8mg)",Frasco Gotero 15 ml,RD$20.00,Vitaminas,2022
10398,Multivitaminas Prenatales ,Capsula,RD$7.00,Vitaminas,2022
9340,Nafazolina 0.1% Solución Oftálmica,Frasco Gotero 10ml,RD$35.00,Descongestivo ocular,2022
9710,Naproxeno ,Tableta 550 ml,RD$7.00,Antiinflamatorio No Esteroides,2022
1418,Nifedipina ,Tableta 20 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
1417,Nifedipina ,Tableta 10 mg,RD$0.20,Antioxitocico,2022
9744,"Nistatina 100,000 UI Óvulos Unid","Óvulos 100,000 UI",RD$5.00,Antifungicos,2022
9168,"Nistatina 100,000 UI/ mL Suspensión Frasco 30 mL",Frasco 30 ml,RD$20.00,Antifungicos,2022
9733,Nitrofurantoina (Macrocristales),Cápsula 100 mg,RD$20.00,Antibacteriano/Antibioticos,2022
3283,Nitrofurazona  0.2% Pomada,Tubo 30 g,RD$20.00,Antiinfeccioso-Antisepticono,2022
9545,Olanzapina ,Tableta 10 mg,RD$50.00,Antipsicótico,2022
9813,Olanzapina ,Tableta 5 mg,RD$40.00,Antipsicótico,2022
1589,Omeprazol ,Tableta 20 mg,RD$0.50,Antiulceroso,2022
9950,Orinal Para Hombre,Unidad,RD$25.00,Insumo Hospitalario,2022
9951,Orinal Plástico Desechable para Mujer ,Unidad,RD$65.00,Insumo Hospitalario,2022
